symbol,min_qty,min_notional,tick_size
MANAUSDT,1.0,5.0,0.0001
ALICEUSDT,0.1,5.0,0.001
HBARUSDT,1.0,5.0,1e-05
ONEUSDT,1.0,5.0,1e-05
LINAUSDT,1.0,5.0,1e-05
STMXUSDT,1.0,5.0,1e-05
DENTUSDT,1.0,5.0,1e-06
CELRUSDT,1.0,5.0,1e-05
HOTUSDT,1.0,5.0,1e-06
MTLUSDT,1.0,5.0,0.0001
OGNUSDT,1.0,5.0,0.0001
NKNUSDT,1.0,5.0,1e-05
SCUSDT,1.0,5.0,1e-06
DGBUSDT,1.0,5.0,1e-05
1000SHIBUSDT,1.0,5.0,1e-06
BAKEUSDT,1.0,5.0,0.0001
GTCUSDT,0.1,5.0,0.001
ETHBUSD,0.001,5.0,0.01
BTCDOMUSDT,0.001,5.0,0.1
BNBBUSD,0.01,5.0,0.01
ADABUSD,1.0,5.0,0.0001
XRPBUSD,0.1,5.0,0.0001
IOTXUSDT,1.0,5.0,1e-05
DOGEBUSD,1.0,5.0,1e-05
AUDIOUSDT,1.0,5.0,0.0001
RAYUSDT,0.1,5.0,0.001
C98USDT,1.0,5.0,0.0001
MASKUSDT,1.0,5.0,0.001
ATAUSDT,1.0,5.0,0.0001
SOLBUSD,1.0,5.0,0.001
FTTBUSD,0.1,5.0,0.001
DYDXUSDT,0.1,5.0,0.001
1000XECUSDT,1.0,5.0,1e-05
GALAUSDT,1.0,5.0,1e-05
CELOUSDT,0.1,5.0,0.001
ARUSDT,0.1,5.0,0.001
KLAYUSDT,0.1,5.0,0.0001
ARPAUSDT,1.0,5.0,1e-05
CTSIUSDT,1.0,5.0,0.0001
LPTUSDT,0.1,5.0,0.001
ENSUSDT,0.1,5.0,0.001
PEOPLEUSDT,1.0,5.0,1e-05
ANTUSDT,0.1,5.0,0.001
ROSEUSDT,1.0,5.0,1e-05
DUSKUSDT,1.0,5.0,1e-05
FLOWUSDT,0.1,5.0,0.001
IMXUSDT,1.0,5.0,0.0001
API3USDT,0.1,5.0,0.001
GMTUSDT,1.0,5.0,0.0001
APEUSDT,1.0,5.0,0.001
WOOUSDT,1.0,5.0,1e-05
FTTUSDT,0.1,5.0,0.0001
JASMYUSDT,1.0,5.0,1e-06
DARUSDT,0.1,5.0,0.0001
GALUSDT,1.0,5.0,0.0001
AVAXBUSD,0.1,5.0,0.001
NEARBUSD,0.1,5.0,0.001
GMTBUSD,0.1,5.0,0.0001
APEBUSD,0.1,5.0,0.001
GALBUSD,1.0,5.0,0.001
FTMBUSD,1.0,5.0,0.0001
DODOBUSD,1.0,5.0,0.0001
ANCBUSD,1.0,5.0,1e-05
GALABUSD,1.0,5.0,1e-06
TRXBUSD,1.0,5.0,1e-06
1000LUNCBUSD,1.0,5.0,1e-05
OPUSDT,0.1,5.0,0.0001
DOTBUSD,0.1,5.0,0.001
TLMBUSD,1.0,5.0,1e-05
WAVESBUSD,0.1,5.0,0.0001
LINKBUSD,0.1,5.0,0.001
SANDBUSD,0.1,5.0,0.0001
LTCBUSD,0.01,5.0,0.01
MATICBUSD,1.0,5.0,0.0001
CVXBUSD,0.1,5.0,0.001
FILBUSD,0.1,5.0,0.001
1000SHIBBUSD,1.0,5.0,1e-06
LEVERBUSD,1.0,5.0,1e-07
ETCBUSD,0.1,5.0,0.001
LDOBUSD,0.1,5.0,0.0001
UNIBUSD,0.1,5.0,0.001
AUCTIONBUSD,0.1,5.0,0.001
INJUSDT,0.1,5.0,0.001
STGUSDT,1.0,5.0,0.0001
FOOTBALLUSDT,0.01,5.0,0.01
SPELLUSDT,1.0,5.0,1e-07
1000LUNCUSDT,1.0,5.0,1e-05
LUNA2USDT,1.0,5.0,0.0001
AMBBUSD,1.0,5.0,1e-06
PHBBUSD,1.0,5.0,0.0001
LDOUSDT,1.0,5.0,0.0001
CVXUSDT,1.0,5.0,0.001
ICPUSDT,1.0,5.0,0.001
APTUSDT,0.1,5.0,0.001
QNTUSDT,0.1,5.0,0.01
APTBUSD,0.1,5.0,0.001
BLUEBIRDUSDT,0.1,5.0,0.001
FETUSDT,1.0,5.0,0.0001
AGIXBUSD,1.0,5.0,0.0001
FXSUSDT,0.1,5.0,0.001
HOOKUSDT,0.1,5.0,0.001
MAGICUSDT,0.1,5.0,0.0001
TUSDT,1.0,5.0,1e-05
RNDRUSDT,0.1,5.0,0.0001
HIGHUSDT,0.1,5.0,0.001
MINAUSDT,1.0,5.0,0.0001
ASTRUSDT,1.0,5.0,1e-05
AGIXUSDT,1.0,5.0,0.0001
PHBUSDT,1.0,5.0,0.0001
GMXUSDT,0.01,5.0,0.01
CFXUSDT,1.0,5.0,0.0001
STXUSDT,1.0,5.0,0.0001
COCOSUSDT,0.1,5.0,0.001
BNXUSDT,0.1,5.0,0.0001
ACHUSDT,1.0,5.0,1e-05
SSVUSDT,0.01,5.0,0.01
CKBUSDT,1.0,5.0,1e-06
PERPUSDT,0.1,5.0,0.0001
TRUUSDT,1.0,5.0,1e-05
LQTYUSDT,0.1,5.0,0.0001
USDCUSDT,1.0,5.0,1e-05
IDUSDT,1.0,5.0,0.0001
ARBUSDT,0.1,5.0,0.0001
ETHUSDT_230630,0.001,5.0,0.01
BTCUSDT_230630,0.001,5.0,0.1
JOEUSDT,1.0,5.0,0.0001
TLMUSDT,1.0,5.0,1e-05
AMBUSDT,1.0,5.0,1e-05
LEVERUSDT,1.0,5.0,1e-06
RDNTUSDT,1.0,5.0,0.0001
HFTUSDT,1.0,5.0,0.0001
XVSUSDT,0.1,5.0,0.001
ETHBTC,0.01,0.001,1e-05
BLURUSDT,1.0,5.0,0.0001
EDUUSDT,1.0,5.0,0.0001
IDEXUSDT,1.0,5.0,1e-05
SUIUSDT,0.1,5.0,0.0001
1000PEPEUSDT,1.0,5.0,1e-07
1000FLOKIUSDT,1.0,5.0,1e-05
UMAUSDT,1.0,5.0,0.001
RADUSDT,1.0,5.0,0.001
KEYUSDT,1.0,5.0,1e-06
COMBOUSDT,0.1,5.0,0.0001
